"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"Codigo";"Sigla";"Nome";"DataIns";"DataAlt";"RespAlt"
66807600.00;0;0;0;0;53;"CIA";"Centro Industrial de Aratú";11/2/2020 00:00:00;;8
66807601.00;0;0;0;0;54;"COPASA-MG";"Cia de Saneamento de Minas Gerais";11/2/2020 00:00:00;;8
66807602.00;0;0;0;0;55;"ELETROBRÁS";"Centrais Elétricas Brasileiras S.A.";11/2/2020 00:00:00;;8
66807603.00;0;0;0;0;56;"IDESP";"Instituto de Desenvolvimento Econômico e Social do Pará";11/2/2020 00:00:00;;8
66807604.00;0;0;0;0;57;"DEPV";"Diretoria de Eletrônica e Proteção ao Vôo do Ministério da Aeronaútica";11/2/2020 00:00:00;;8
66807605.00;0;0;0;0;58;"DNOCS";"Departamento Nacional de Obras Contra as Secas";11/2/2020 00:00:00;;8
66807606.00;0;0;0;0;59;"FEEMA";"Fundação Estadual de Engenharia do Meio Ambiente - RJ";11/2/2020 00:00:00;;8
66807607.00;0;0;0;0;60;"IAA";"Instituto do Açúcar e do Alcool";11/2/2020 00:00:00;;8
66807608.00;0;0;0;0;61;"CHM";"Comando de Hidrografia e Navegação do Ministério da Marinha";11/2/2020 00:00:00;;8
66807609.00;0;0;0;0;62;"CEPLAC";"Comissão Executiva do Plano de Recuperação Economica-Social da Lavoura Cacaueira";11/2/2020 00:00:00;;8
66807610.00;0;0;0;0;63;"CLM";"Comissão da Lagoa Mirim";11/2/2020 00:00:00;;8
66807611.00;0;0;0;0;64;"SUDAM";"Superintendência do Desenvolvimento da Amazônia";11/2/2020 00:00:00;;8
66807612.00;0;0;0;0;65;"DEPRC";"Departamento Estadual de Portos, Rios e Canais do Rio Grande do Sul";11/2/2020 00:00:00;;8
66807613.00;0;0;0;0;66;"DMAE";"Departamento Municipal de Águas e Esgoto - Porto Alegre / RS";11/2/2020 00:00:00;;8
66807614.00;0;0;0;0;67;"IAPAR";"Instituto Agronomo do Paraná";11/2/2020 00:00:00;;8
66807615.00;0;0;0;0;68;"DAEE-MG";"Departamento de Águas e Energia Elétrica de Minas Gerais";11/2/2020 00:00:00;;8
66807616.00;0;0;0;0;69;"FURNAS";"Furnas Centrais Elétricas S.A.";11/2/2020 00:00:00;;8
66807617.00;0;0;0;0;70;"MORRO VELHO";"Mineração Morro Velho S.A.";11/2/2020 00:00:00;;8
66807618.00;0;0;0;0;71;"SABESP";"Companhia de Saneamento Básico do Estado de São Paulo-SABESP";11/2/2020 00:00:00;;8
66807619.00;0;0;0;0;72;"GERAL";"Cia Geral de Eletricidade";11/2/2020 00:00:00;;8
66807620.00;0;0;0;0;73;"EMBASA-BA";"Empresa Baiana de Saneamento";11/2/2020 00:00:00;;8
66807621.00;0;0;0;0;74;"CERB";"Cia de Engenharia Rural da Bahia";11/2/2020 00:00:00;;8
66807622.00;0;0;0;0;75;"ELETRONORTE";"Centrais Elétricas do Norte do Brasil S.A-ELETRONORTE";11/2/2020 00:00:00;;8
66807623.00;0;0;0;0;76;"SERLA-RJ";"Superintendência Estadual de Rios e Lagoas do Rio de Janeiro";11/2/2020 00:00:00;;8
66807624.00;0;0;0;0;77;"CAESB";"Companhia de Saneamento Ambiental do Distrito Federal";11/2/2020 00:00:00;;8
66807625.00;0;0;0;0;78;"PLANALSUCAR";"Programa Nacional de Melhoramento da Cana-de-Açúcar";11/2/2020 00:00:00;;8
66807626.00;0;0;0;0;79;"ELETROSUL";"Eletrosul Centrais Elétricas S.A.";11/2/2020 00:00:00;;8
66807627.00;0;0;0;0;80;"CHESF";"Companhia Hidro Elétrica do São Francisco-CHESF";11/2/2020 00:00:00;;8
66807628.00;0;0;0;0;81;"VALE";"Vale S.A.";11/2/2020 00:00:00;;8
66807629.00;0;0;0;0;82;"CPRM";"Cia de Pesquisa de Recursos Minerais";11/2/2020 00:00:00;;8
66807630.00;0;0;0;0;83;"CAGEPA";"Cia de Águas e Esgoto da Paraíba";11/2/2020 00:00:00;;8
66807631.00;0;0;0;0;84;"EMAE";"Empresa Metropolitana de Águas e Energia  S.A-EMAE";11/2/2020 00:00:00;;8
66807632.00;0;0;0;0;85;"HIDROLOGIA";"Engenharia Industria e Comércio S.A.";11/2/2020 00:00:00;;8
66807633.00;0;0;0;0;86;"CNEC";"Consorcio Nacional de Engenheiros Consultores";11/2/2020 00:00:00;;8
