"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"EstadoCodigo";"Codigo";"CodigoIBGE";"Nome";"DataIns";"DataAlt";"RespAlt"
66804514.00;0;0;0;0;22;22019000;4101903;"ASSAÍ";11/2/2020 00:00:00;;8
66804515.00;0;0;0;0;22;22020000;4102000;"ASSIS CHATEAUBRIAND";11/2/2020 00:00:00;;8
66804516.00;0;0;0;0;22;22021000;4102109;"ASTORGA";11/2/2020 00:00:00;;8
66804517.00;0;0;0;0;22;22022000;4102208;"ATALAIA";11/2/2020 00:00:00;;8
66804518.00;0;0;0;0;22;22023000;4102307;"BALSA NOVA";11/2/2020 00:00:00;;8
66804519.00;0;0;0;0;22;22024000;4102406;"BANDEIRANTES";11/2/2020 00:00:00;;8
66804520.00;0;0;0;0;22;22025000;4102505;"BARBOSA FERRAZ";11/2/2020 00:00:00;;8
66804521.00;0;0;0;0;22;22026000;4102604;"BARRACÃO";11/2/2020 00:00:00;;8
66804522.00;0;0;0;0;22;22027000;4102703;"BARRA DO JACARÉ";11/2/2020 00:00:00;;8
66804523.00;0;0;0;0;22;22028000;4102802;"BELA VISTA DO PARAÍSO";11/2/2020 00:00:00;;8
66804524.00;0;0;0;0;22;22029000;4102901;"BITURUNA";11/2/2020 00:00:00;;8
66804525.00;0;0;0;0;22;22030000;4103008;"BOA ESPERANÇA";11/2/2020 00:00:00;;8
66804526.00;0;0;0;0;22;22030200;4103024;"BOA ESPERANÇA DO IGUAÇU";11/2/2020 00:00:00;;8
66804527.00;0;0;0;0;22;22152000;4115200;"MARINGÁ";11/2/2020 00:00:00;;8
66804528.00;0;0;0;0;22;22269000;4126801;"TAPEJARA";11/2/2020 00:00:00;;8
66804529.00;0;0;0;0;23;23098000;4210001;"LUIZ ALVES";11/2/2020 00:00:00;;8
66804530.00;0;0;0;0;24;24107500;4310850;"JABOTICABA";11/2/2020 00:00:00;;8
66804531.00;0;0;0;0;24;24184900;4318499;"SÃO JOSÉ DO INHACORÁ";11/2/2020 00:00:00;;8
66804532.00;0;0;0;0;26;26100400;5209952;"INDIARA";11/2/2020 00:00:00;;8
66804533.00;0;0;0;0;29;29077000;1715259;"NOVO JARDIM";11/2/2020 00:00:00;;8
66804534.00;0;0;0;0;22;22030500;4103057;"BOA VISTA DA APARECIDA";11/2/2020 00:00:00;;8
66804535.00;0;0;0;0;22;22032000;4103206;"BOM SUCESSO";11/2/2020 00:00:00;;8
66804536.00;0;0;0;0;22;22032500;4103222;"BOM SUCESSO DO SUL";11/2/2020 00:00:00;;8
